time_idx,date,tourist,destination,day of the week,month,year,day,Holiday,Trend,Seasonal,Resid
1,2009/7/1,22413,hawai,wednesday,July,2009,1,FALSE,12964.37902,7002.230118,2446.39086
2,2009/7/2,23175,hawai,thursday,July,2009,2,FALSE,12972.47481,7013.530694,3188.994492
3,2009/7/3,23756,hawai,friday,July,2009,3,Independence_day,12983.40539,7086.238553,3686.356058
4,2009/7/4,23443,hawai,saturday,July,2009,4,FALSE,12998.07332,6645.230873,3799.695808
5,2009/7/5,21608,hawai,sunday,July,2009,5,FALSE,13018.1685,4909.336516,3680.494983
6,2009/7/6,21574,hawai,monday,July,2009,6,FALSE,13050.69739,6647.42174,1875.880872
7,2009/7/7,21922,hawai,tuesday,July,2009,7,FALSE,13111.31186,6469.584641,2341.103495
8,2009/7/8,22876,hawai,wednesday,July,2009,8,FALSE,13226.65019,7267.605901,2381.74391
9,2009/7/9,23520,hawai,thursday,July,2009,9,FALSE,13349.27364,7006.792313,3163.934048
10,2009/7/10,24323,hawai,friday,July,2009,10,FALSE,13471.83439,7186.726991,3664.438621
11,2009/7/11,24670,hawai,saturday,July,2009,11,FALSE,13577.21346,7126.443377,3966.343159
12,2009/7/12,24098,hawai,sunday,July,2009,12,FALSE,13645.39852,6835.456002,3617.145478
13,2009/7/13,22795,hawai,monday,July,2009,13,FALSE,13685.69835,7128.762189,1980.539466
14,2009/7/14,23543,hawai,tuesday,July,2009,14,FALSE,13723.74409,7578.481875,2240.774032
15,2009/7/15,22489,hawai,wednesday,July,2009,15,FALSE,13756.3848,6415.517394,2317.097802
16,2009/7/16,23743,hawai,thursday,July,2009,16,FALSE,13772.44915,6831.411158,3139.139696
17,2009/7/17,24646,hawai,friday,July,2009,17,FALSE,13758.52811,7234.143054,3653.328837
18,2009/7/18,25132,hawai,saturday,July,2009,18,FALSE,13735.19145,7262.990668,4133.817886
19,2009/7/19,24203,hawai,sunday,July,2009,19,FALSE,13720.379,6933.761745,3548.85926
20,2009/7/20,23050,hawai,monday,July,2009,20,FALSE,13709.93328,7258.576098,2081.490625
21,2009/7/21,21844,hawai,tuesday,July,2009,21,FALSE,13684.51358,6025.008324,2134.478095
22,2009/7/22,23234,hawai,wednesday,July,2009,22,FALSE,13642.17481,7339.477445,2252.347749
23,2009/7/23,23692,hawai,thursday,July,2009,23,FALSE,13602.59925,6973.557628,3115.843121
24,2009/7/24,24105,hawai,friday,July,2009,24,FALSE,13583.24025,6868.540258,3653.219488
25,2009/7/25,25132,hawai,saturday,July,2009,25,FALSE,13577.33126,7250.885107,4303.783637
26,2009/7/26,24020,hawai,sunday,July,2009,26,FALSE,13592.96273,6950.831074,3476.206193
27,2009/7/27,22308,hawai,monday,July,2009,27,FALSE,13610.84628,6518.272704,2178.881015
28,2009/7/28,23011,hawai,tuesday,July,2009,28,FALSE,13653.58911,7335.430692,2021.9802
29,2009/7/29,22317,hawai,wednesday,July,2009,29,FALSE,13743.90027,6386.220445,2186.879281
30,2009/7/30,24335,hawai,thursday,July,2009,30,FALSE,13883.22441,7356.351807,3095.423784
31,2009/7/31,24203,hawai,friday,July,2009,31,FALSE,14061.68521,6480.546425,3660.768368
32,2009/8/1,25531,hawai,saturday,August,2009,1,FALSE,14237.77121,6817.527687,4475.701102
33,2009/8/2,25117,hawai,sunday,August,2009,2,FALSE,14363.85542,7351.326756,3401.817824
34,2009/8/3,24252,hawai,monday,August,2009,3,FALSE,14421.5154,7558.627831,2271.856769
35,2009/8/4,23688,hawai,tuesday,August,2009,4,FALSE,14410.56927,7371.101386,1906.329347
36,2009/8/5,24056,hawai,wednesday,August,2009,5,FALSE,14360.4823,7575.07603,2120.441669
37,2009/8/6,24245,hawai,thursday,August,2009,6,FALSE,14266.19822,6898.156612,3080.645168
38,2009/8/7,24132,hawai,friday,August,2009,7,FALSE,14134.03273,6329.618834,3668.348439
39,2009/8/8,25186,hawai,saturday,August,2009,8,FALSE,13979.52264,6562.756834,4643.720523
40,2009/8/9,24557,hawai,sunday,August,2009,9,FALSE,13823.66614,7403.216874,3330.116991
41,2009/8/10,23161,hawai,monday,August,2009,10,FALSE,13693.82105,7106.391875,2360.787079
42,2009/8/11,22716,hawai,tuesday,August,2009,11,FALSE,13593.15183,7331.210263,1791.637912
43,2009/8/12,22459,hawai,wednesday,August,2009,12,FALSE,13476.33006,6919.289837,2063.380106
44,2009/8/13,23278,hawai,thursday,August,2009,13,FALSE,13312.35892,6890.600331,3075.040753
45,2009/8/14,23850,hawai,friday,August,2009,14,FALSE,13123.58122,7051.102432,3675.316343
46,2009/8/15,25040,hawai,saturday,August,2009,15,FALSE,12946.14193,7306.381864,4787.47621
47,2009/8/16,22632,hawai,sunday,August,2009,16,FALSE,12778.27091,6590.351369,3263.377716
48,2009/8/17,21867,hawai,monday,August,2009,17,FALSE,12604.84751,6827.922786,2434.229704
49,2009/8/18,21232,hawai,tuesday,August,2009,18,FALSE,12422.1528,7148.518639,1661.328557
50,2009/8/19,21541,hawai,wednesday,August,2009,19,FALSE,12256.47557,7282.098147,2002.426282
51,2009/8/20,22120,hawai,thursday,August,2009,20,FALSE,12080.43772,6950.338405,3089.223874
52,2009/8/21,22651,hawai,friday,August,2009,21,FALSE,11801.63271,7089.845276,3759.52201
53,2009/8/22,23242,hawai,saturday,August,2009,22,FALSE,11363.12532,6984.122565,4894.75212
54,2009/8/23,23084,hawai,sunday,August,2009,23,FALSE,10804.15991,9060.640002,3219.200088
55,2009/8/24,20686,hawai,monday,August,2009,24,FALSE,10217.41891,7964.491578,2504.089507
56,2009/8/25,17787,hawai,tuesday,August,2009,25,FALSE,9693.456999,6611.718524,1481.824477
57,2009/8/26,17583,hawai,wednesday,August,2009,26,FALSE,9281.753304,6377.709257,1923.537439
58,2009/8/27,18383,hawai,thursday,August,2009,27,FALSE,9001.509111,6273.220926,3108.269962
59,2009/8/28,19801,hawai,friday,August,2009,28,FALSE,8836.871501,7092.290163,3871.838336
60,2009/8/29,21104,hawai,saturday,August,2009,29,FALSE,8761.518895,7348.378268,4994.102836
61,2009/8/30,18776,hawai,sunday,August,2009,30,FALSE,8791.335635,6791.062485,3193.60188
62,2009/8/31,17578,hawai,monday,August,2009,31,FALSE,8876.661344,6128.122271,2573.216385
63,2009/9/1,17055,hawai,tuesday,September,2009,1,FALSE,8944.814717,6832.323257,1277.862026
64,2009/9/2,18208,hawai,wednesday,September,2009,2,FALSE,8960.653686,7404.355655,1842.990659
65,2009/9/3,19658,hawai,thursday,September,2009,3,FALSE,8944.428268,7563.001819,3150.569912
66,2009/9/4,20293,hawai,friday,September,2009,4,FALSE,8913.623246,7411.570104,3967.80665
67,2009/9/5,21208,hawai,saturday,September,2009,5,FALSE,8844.908915,7270.421881,5092.669204
68,2009/9/6,18449,hawai,sunday,September,2009,6,FALSE,8721.133232,6543.150557,3184.716211
69,2009/9/7,17883,hawai,monday,September,2009,7,labor_day,8560.377738,6706.793808,2615.828454
70,2009/9/8,16621,hawai,tuesday,September,2009,8,FALSE,8407.009072,7139.124387,1074.866541
71,2009/9/9,17016,hawai,wednesday,September,2009,9,FALSE,8307.423447,6944.946777,1763.629776
