date,tourist,time_idx,pc_SichuanEpidemic,mob_SichuanEpidemic,pc_Jiuzhaigou,mob_Jiuzhaigou,weekday,year,month,day,destination,Trend,Seasonal,Resid
2020/4/1,208,1,271,959,388,856,Tuesday,2020,4,1,JiuZhaigou,311.0030385,1931.261309,3965.735652
2020/4/2,295,2,243,933,445,873,Wednesday,2020,4,2,JiuZhaigou,341.195455,1946.020432,4007.784113
2020/4/3,311,3,201,841,333,877,Thursday,2020,4,3,JiuZhaigou,372.267806,1847.161177,4091.571017
2020/4/4,528,4,116,886,218,945,Friday,2020,4,4,JiuZhaigou,404.8588922,2127.398485,3995.742622
2020/4/5,2018,5,106,794,180,912,Saturday,2020,4,5,JiuZhaigou,439.0537719,2039.800262,5539.145966
2020/4/6,508,6,151,798,197,878,Sunday,2020,4,6,JiuZhaigou,473.8247875,2071.488586,3962.686626
2020/4/7,330,7,179,769,324,851,Monday,2020,4,7,JiuZhaigou,503.4191987,1971.25675,3855.324051
2020/4/8,548,8,159,690,302,852,Tuesday,2020,4,8,JiuZhaigou,539.7826688,1959.875584,4048.341747
2020/4/9,537,9,137,641,386,862,Wednesday,2020,4,9,JiuZhaigou,580.2100355,1963.347233,3993.442731
2020/4/10,544,10,142,635,343,861,Thursday,2020,4,10,JiuZhaigou,625.2923669,1882.028217,4036.679416
2020/4/11,1061,11,123,666,226,904,Friday,2020,4,11,JiuZhaigou,677.9986739,2204.359688,4178.641638
2020/4/12,613,12,120,787,226,870,Saturday,2020,4,12,JiuZhaigou,735.2726995,2012.400324,3865.326977
2020/4/13,578,13,170,849,422,860,Sunday,2020,4,13,JiuZhaigou,788.5145507,1959.068649,3830.4168
2020/4/14,801,14,142,635,354,872,Monday,2020,4,14,JiuZhaigou,836.4947988,1948.496678,4016.008523
2020/4/15,980,15,163,662,344,880,Tuesday,2020,4,15,JiuZhaigou,880.337599,1990.409071,4109.25333
2020/4/16,960,16,137,642,335,876,Wednesday,2020,4,16,JiuZhaigou,917.546802,1979.956677,4062.496521
2020/4/17,942,17,150,720,395,900,Thursday,2020,4,17,JiuZhaigou,943.991922,1921.593631,4076.414447
2020/4/18,1281,18,225,1360,208,910,Friday,2020,4,18,JiuZhaigou,952.7224243,2285.685616,4042.59196
2020/4/19,1045,19,133,855,202,933,Saturday,2020,4,19,JiuZhaigou,945.8559172,1983.780469,4115.363613
2020/4/20,694,20,193,765,409,920,Sunday,2020,4,20,JiuZhaigou,939.7005109,1842.655895,3911.643595
2020/4/21,729,21,150,871,416,913,Monday,2020,4,21,JiuZhaigou,951.4707277,1920.676886,3856.852386
2020/4/22,945,22,144,808,499,919,Tuesday,2020,4,22,JiuZhaigou,998.0393408,2023.24813,3923.712529
