date,tourist,pc_Siguniang,mob_Siguniang,pc_SichuanEpidemic,mob_SichuanEpidemic,time_idx,weekday,year,month,day,destination,Trend,Seasonal,Resid
2020-04-01,101,388,856,271,959,1,Tuesday,2020,4,1,SiGuniang,149.5868434,969.9143162,2481.49884
2020-04-02,122,445,873,243,933,2,Wednesday,2020,4,2,SiGuniang,166.2074955,957.303377,2498.489127
2020-04-03,149,333,877,201,841,3,Thursday,2020,4,3,SiGuniang,181.7966752,990.2988989,2476.904426
2020-04-04,850,218,945,116,886,4,Friday,2020,4,4,SiGuniang,196.3259585,955.0009712,3198.67307
2020-04-05,1499,180,912,106,794,5,Saturday,2020,4,5,SiGuniang,210.2045843,1230.235815,3558.559601
2020-04-06,389,197,878,151,798,6,Sunday,2020,4,6,SiGuniang,225.3091957,997.9089739,2665.78183
2020-04-07,162,324,851,179,769,7,Monday,2020,4,7,SiGuniang,248.7251612,904.8065616,2508.468277
2020-04-08,157,302,852,159,690,8,Tuesday,2020,4,8,SiGuniang,257.6980483,954.2795258,2445.022426
2020-04-09,159,386,862,137,641,9,Wednesday,2020,4,9,SiGuniang,251.0933527,939.2864049,2468.620242
2020-04-10,213,343,861,142,635,10,Thursday,2020,4,10,SiGuniang,244.3234817,976.575655,2492.100863
2020-04-11,294,226,904,123,666,11,Friday,2020,4,11,SiGuniang,245.3654044,1026.633292,2522.001304
2020-04-12,491,226,870,120,787,12,Saturday,2020,4,12,SiGuniang,255.6279754,1237.269671,2498.102354
2020-04-13,194,422,860,170,849,13,Sunday,2020,4,13,SiGuniang,272.3609525,967.1276171,2454.51143
2020-04-14,136,354,872,142,635,14,Monday,2020,4,14,SiGuniang,291.9290809,904.9107636,2439.160156
2020-04-15,294,344,880,163,662,15,Tuesday,2020,4,15,SiGuniang,311.1299137,937.7066948,2545.163391
2020-04-16,232,335,876,137,642,16,Wednesday,2020,4,16,SiGuniang,321.9819239,920.3665964,2489.65148
2020-04-17,375,395,900,150,720,17,Thursday,2020,4,17,SiGuniang,327.6410075,963.2382938,2584.120699
2020-04-18,817,208,910,225,1360,18,Friday,2020,4,18,SiGuniang,332.3921544,1099.038942,2885.568904
2020-04-19,658,202,933,133,855,19,Saturday,2020,4,19,SiGuniang,333.2560566,1245.01226,2579.731683
2020-04-20,164,409,920,193,765,20,Sunday,2020,4,20,SiGuniang,328.8126224,937.329543,2397.857835
2020-04-21,213,416,913,150,871,21,Monday,2020,4,21,SiGuniang,319.6663074,903.7945804,2489.539112
2020-04-22,255,499,919,144,808,22,Tuesday,2020,4,22,SiGuniang,309.4193673,920.4178922,2525.16274
2020-04-23,181,453,918,163,751,23,Wednesday,2020,4,23,SiGuniang,314.0202723,900.5843608,2466.395367
2020-04-24,247,454,921,161,829,24,Thursday,2020,4,24,SiGuniang,337.6793035,950.6820099,2458.638687
2020-04-25,494,281,975,101,649,25,Friday,2020,4,25,SiGuniang,375.9733107,1171.822813,2446.203876
2020-04-26,440,595,1029,157,709,26,Saturday,2020,4,26,SiGuniang,424.8969293,1253.658054,2261.445016
2020-04-27,389,706,1089,152,599,27,Sunday,2020,4,27,SiGuniang,484.6483801,908.0306431,2496.320977
