,Hawaii（test=90）,Actual ,h=1,h=3,h=7,h=15,h=30
1,2022/1/6,24367,24591.90575,23942.67798,22929.55519,25082.33347,29316.87305
2,2022/1/7,23420,23115.24727,23800.32446,23121.21558,24251.47257,28640.0437
3,2022/1/8,26130,26159.23924,25514.58936,24709.11291,25300.73241,31073.44824
4,2022/1/9,23439,23396.76999,23149.41187,22610.99764,22603.38109,27871.73608
5,2022/1/10,19610,20191.31299,21338.94971,21565.73671,20809.13467,25862.39221
6,2022/1/11,18586,18009.8237,19504.27417,20290.92514,20255.17418,25322.6416
7,2022/1/12,21759,22472.271,22190.50635,20911.9653,20794.99185,27302.10059
8,2022/1/13,24375,24497.88913,23217.37158,21608.31441,22456.29952,27729.25952
9,2022/1/14,24357,24229.19064,23761.7019,21170.17242,22082.45759,26923.02393
10,2022/1/15,25707,26339.30715,23101.54248,22856.18114,22950.36027,29529.04346
11,2022/1/16,20888,20663.70563,21344.73364,20545.069,20574.97458,26093.73071
12,2022/1/17,17778,19514.77982,19094.59131,19426.74555,18081.92114,24678.60132
13,2022/1/18,16533,17463.05644,16660.35107,18144.74194,18513.00825,23433.25635
14,2022/1/19,17146,16762.53043,18056.40735,18964.29123,19667.07245,25515.52637
15,2022/1/20,19909,19414.749,19283.00244,19236.2512,21185.91368,25647.19971
16,2022/1/21,20142,20002.22607,20455.16504,19402.0288,20083.03253,25188.90186
17,2022/1/22,22404,21468.90549,21982.31738,22168.5867,22458.96042,27834.45605
18,2022/1/23,19821,19659.99475,19773.55688,19258.1672,19785.29201,24376.71484
19,2022/1/24,16885,18415.90105,16945.0188,17778.4975,16910.50577,22371.43152
20,2022/1/25,15689,16252.30223,16404.54248,16280.4367,16774.88555,22034.21753
21,2022/1/26,17740,17962.9273,17365.94824,17925.5848,18411.94044,24060.44092
22,2022/1/27,19602,18911.01289,19033.47461,19297.39793,19938.43165,24446.12061
23,2022/1/28,19686,19697.55909,19710.90234,19859.656,19200.08872,24062.76904
24,2022/1/29,21146,21092.36881,21146.64844,22048.05805,21462.62345,26862.82568
25,2022/1/30,17977,17940.02976,18462.34131,18833.87058,18979.77423,23490.48706
26,2022/1/31,16667,16426.21004,17656.92529,17020.30427,16269.68914,21876.01465
27,2022/2/1,20992,20902.98146,16889.26208,16824.93649,17025.3363,22033.04834
28,2022/2/2,20126,20000.12496,19237.92407,18852.64141,18984.0491,24091.52734
29,2022/2/3,20983,20973.65524,20845.07861,20813.20905,20539.85973,24461.54663
30,2022/2/4,21053,20022.67595,21452.33276,21175.69606,20218.53757,24402.30127
31,2022/2/5,23918,23786.99163,23744.94531,23684.70541,25760.5894,27347.98576
32,2022/2/6,21208,21489.23972,21221.65601,20389.00725,22145.453,25714.62783
33,2022/2/7,18788,18904.00357,20298.26758,18774.7525,20030.7871,23508.84451
34,2022/2/8,19243,19768.83425,20284.72095,17842.20281,19762.9297,22728.49805
35,2022/2/9,21748,21676.17821,21645.72791,20258.16508,21747.5844,23917.8379
36,2022/2/10,24712,24180.14479,22771.41064,23661.26397,23268.3676,25372.92314
37,2022/2/11,24800,25136.20454,24588.46436,23558.54368,23242.3356,25868.82071
38,2022/2/12,27108,24780.7329,26241.91113,26228.08857,25830.9394,27645.69482
39,2022/2/13,22346,22256.25382,22299.85034,22954.7017,22490.6416,25892.55902
40,2022/2/14,20723,20180.56847,24819.08057,21452.29132,20505.5036,23334.44185
41,2022/2/15,25169,26327.954,23803.91333,21249.23607,20393.4382,22747.17774
42,2022/2/16,26711,26050.3411,25647.85693,22268.64712,22813.645,23679.80961
43,2022/2/17,28185,27494.47263,29066.84448,28278.11,24272.7493,25135.57704
44,2022/2/18,29331,27842.0626,29082.04321,28250.3423,24511.451,25500.21245
45,2022/2/19,30886,26862.67062,31102.89063,30681.3266,27452.1166,27141.01484
46,2022/2/20,29440,27937.49786,28339.97827,29229.5126,27447.5176,25056.62734
47,2022/2/21,27390,27107.19894,27724.05518,27522.2144,26545.724,22953.40746
48,2022/2/22,25170,24132.88188,26004.16626,25458.2445,23584.1113,21975.66959
49,2022/2/23,23266,23488.6492,23309.18799,27065.5713,23483.3495,22963.32425
50,2022/2/24,24112,23630.02738,24080.36719,24148.51376,25858.223,24165.42204
51,2022/2/25,24602,24427.46039,24397.09619,24692.66221,25561.3198,24173.56688
52,2022/2/26,27227,26874.7063,22831.58789,26387.10944,26638.8116,25816.54418
53,2022/2/27,24024,24152.50508,23669.0835,23590.30126,23541.0709,24020.80011
54,2022/2/28,22834,22614.56851,22711.97363,22450.60274,23051.5594,21619.70097
55,2022/3/1,24811,23548.24021,23248.13525,21691.63349,22821.8981,21275.85671
56,2022/3/2,23876,24025.41409,24002.63391,23485.01162,23462.4454,21924.61344
57,2022/3/3,26507,26712.64654,26218.98877,25419.35794,26390.991,24195.9426
58,2022/3/4,27046,26851.3121,26204.15527,26045.05353,26206.9976,24967.18825
59,2022/3/5,28263,26408.5818,25343.95044,27841.89308,27829.6708,26455.6712
60,2022/3/6,25053,24531.01997,25610.62256,24938.38505,24658.9535,24656.57738
61,2022/3/7,22183,23017.61694,22931.1355,23811.47477,25137.3166,27763.09848
62,2022/3/8,21253,22361.42425,20384.97525,22361.46917,24285.4014,26615.19755
63,2022/3/9,25355,26079.1072,22566.99255,23637.47359,25740.0069,27123.24619
64,2022/3/10,28039,28046.49219,28260.91211,27581.82985,27997.1588,29355.03251
65,2022/3/11,30709,30011.99797,28416.26318,28163.49023,29221.7717,29847.46775
66,2022/3/12,30874,30691.45703,30512.86279,30997.20134,30986.7406,31299.42238
67,2022/3/13,29531,28942.25177,28267.53711,28344.28505,28870.1168,29667.71042
68,2022/3/14,27357,27504.43855,27106.08301,26463.89959,27476.4469,27734.25345
69,2022/3/15,24511,24218.96698,25664.40649,24983.83304,26486.2196,26689.30883
70,2022/3/16,26647,28001.35734,28812.19897,26639.41303,27787.0797,27363.2479
71,2022/3/17,30572,28501.27349,30409.41309,31624.77782,30017.4209,29638.2061
72,2022/3/18,31853,29475.7629,31050.00781,31961.11936,30672.5137,30147.46827
73,2022/3/19,33923,33914.75906,33753.63428,33456.91995,32490.4893,31442.72004
74,2022/3/20,31957,30881.0028,32019.67725,31419.46327,29926.0116,29689.94191
75,2022/3/21,30821,30829.81356,31046.89771,29677.48842,27979.2988,27689.47716
76,2022/3/22,28001,29681.22608,27852.3606,28012.66035,28013.7247,26751.15335
77,2022/3/23,28761,28776.93111,28777.74536,29124.63882,28783.762,27294.52457
78,2022/3/24,29740,30680.68159,29774.52075,30049.648,30989.0534,29624.97585
79,2022/3/25,31250,30405.659,31383.29883,30689.0734,31754.3414,29929.21384
80,2022/3/26,33341,33247.65355,30874.17212,32918.554,33735.8256,31171.49563
81,2022/3/27,29855,29905.91744,31136.15723,29837.8637,31147.7779,29432.07279
82,2022/3/28,28841,28977.5888,27841.88672,29108.1058,29336.2039,27809.87709
83,2022/3/29,25083,25932.06031,26050.98877,27525.0527,27973.4956,26647.79979
84,2022/3/30,27158,27841.46838,27324.06787,28852.503,28850.6811,27150.42494
85,2022/3/31,30886,30884.9649,30973.89307,28880.0532,30895.9467,29650.6506
86,2022/4/1,32302,30693.61271,31867.20825,29771.3855,31450.198,30449.78325
87,2022/4/2,32510,32623.5015,33326.74072,28831.9731,33038.6024,31754.81687
88,2022/4/3,30688,30395.9429,30474.28467,28370.0605,30656.8054,29685.46706
89,2022/4/4,28972,29120.3378,29044.50684,29574.0117,28975.9464,27074.91188
90,2022/4/5,27104,26959.85009,27173.58691,29073.1216,27566.0615,26025.82694
