Jiuzhaigou,Actual,h=1,h=3,h=7,h=15,h=30
2021/6/15,5186,5763.662264,5273.089355,6485.83846,8928.724731,9170.822144
2021/6/16,5796,5787.326551,5712.177368,7112.514551,8241.133911,7997.122925
2021/6/17,6488,6478.508052,5723.683594,7220.798507,8270.77832,8404.585571
2021/6/18,7816,7443.378188,7890.168213,7379.540481,8059.123535,7926.547729
2021/6/19,8132,8144.992255,8125.06665,8730.508566,7985.461304,8386.352661
2021/6/20,7208,7232.035534,7218.125977,7599.275123,7886.348267,7922.165283
2021/6/21,7661,7660.562428,7546.270996,7671.130088,7806.234253,8268.884888
2021/6/22,7348,7382.339992,7492.745728,7318.822266,7653.092896,8066.800415
2021/6/23,8117,8171.380219,7902.675659,7110.677002,8076.018677,8266.120728
2021/6/24,7213,7066.737186,7218.91748,7234.474854,7704.547119,8247.051636
2021/6/25,8231,8201.017224,7723.064453,7633.294678,7817.232178,8373.439575
2021/6/26,8095,8028.546353,8047.121582,7535.150879,8122.445435,9061.525391
2021/6/27,8201,8230.050991,8177.515625,8113.710693,8179.5,9116.781372
2021/6/28,8540,8597.527244,8453.135742,8163.872803,7711.048218,8809.498169
2021/6/29,8322,8258.035266,8389.884277,8344.359985,7538.360474,8942.116333
2021/6/30,9564,9548.325019,9562.813721,9019.832764,9086.339355,9317.023682
2021/7/1,9779,9834.690172,9777.156738,9967.307129,11789.64917,10494.36902
2021/7/2,10797,10786.06021,10802.94226,11236.39941,12686.1416,12466.49023
2021/7/3,12469,12366.76527,12427.77515,12430.41797,13576.72119,12842.63037
2021/7/4,13659,13745.61158,13045.15869,12358.30615,13306.49097,12984.75659
2021/7/5,13053,12952.74131,13107.01172,13002.72302,13677.2085,13444.8147
2021/7/6,13844,13907.14851,13847.56689,14751.14819,14035.34705,13264.09143
2021/7/7,15020,14876.86524,14397.1908,14822.66406,14564.51965,13760.10791
2021/7/8,14585,14654.18228,14518.03333,14614.87866,14387.39612,13695.22986
2021/7/9,15329,15344.18571,15329.89661,15359.00024,15129.55664,13512.37903
2021/7/10,16125,16309.37728,16077.37012,16216.49414,15084.38989,13608.5127
2021/7/11,17022,16755.84238,16726.91235,16240.3916,15343.49548,13398.39307
2021/7/12,17647,17311.04893,17546.7002,15730.97949,15116.00452,14403.82532
