,Siguniang,Actual,h=1,h=3,h=7,h=15,h=30
1,2021/6/15,1091,1099.978059,1158.134033,1412.078778,1497.826222,1542.74021
2,2021/6/16,1551,1559.099792,1372.11853,1234.712857,1382.15182,1377.877534
3,2021/6/17,1602,1576.895641,1593.26123,1487.779668,1381.723483,1425.423923
4,2021/6/18,1320,1295.069409,1515.564331,1353.090505,1460.462251,1536.12226
5,2021/6/19,2140,2109.384802,2200.109375,2146.888421,2271.630953,2647.916449
6,2021/6/20,2343,2303.332845,2074.670288,1953.795669,2168.290306,2294.699071
7,2021/6/21,1123,1410.538435,1074.047974,1144.502373,1290.644254,1435.580616
8,2021/6/22,1492,1478.237727,1413.335449,1402.06299,1280.855426,1428.354526
9,2021/6/23,1187,1170.990475,1211.115112,1186.611007,1268.545622,1331.731385
10,2021/6/24,1174,1178.946301,1200.025574,1202.705434,1233.862785,1402.084022
11,2021/6/25,1261,1270.243466,1229.262329,1157.181167,1312.599154,1517.757565
12,2021/6/26,2412,2336.854373,2410.178711,2399.325202,2331.094698,2817.939325
13,2021/6/27,2187,2189.774014,2178.103394,2215.645474,2242.436082,2412.603767
14,2021/6/28,1239,1236.920866,1235.268372,1204.061138,1228.149358,1429.290942
15,2021/6/29,1169,1166.541102,1211.708618,1457.9957,1297.956861,1439.300158
16,2021/6/30,1238,1240.512517,1272.769226,1477.796901,1577.674167,1385.600465
17,2021/7/1,1314,1304.948075,1313.015503,1378.289978,1764.416894,1590.794716
18,2021/7/2,1761,1755.461041,1498.612183,1739.591783,1918.125353,1836.881023
19,2021/7/3,3126,3094.194594,3334.905518,2951.596539,2787.423486,3110.981932
20,2021/7/4,3488,3394.361886,3143.092163,3238.630365,2707.93635,2569.427709
21,2021/7/5,1894,1953.827511,1890.440552,1948.743521,2022.342943,1849.257556
22,2021/7/6,2051,2050.525369,2056.894165,2074.366676,2142.888557,2069.495028
23,2021/7/7,2205,2208.031415,2181.902649,2247.554837,2135.703441,1995.452684
24,2021/7/8,2161,2165.395753,2150.399841,2244.636571,2201.760413,2125.4965
25,2021/7/9,2128,2141.245504,2016.856262,2316.269617,2166.358277,2244.077425
26,2021/7/10,3566,3366.837125,3506.555664,3330.145688,2876.258059,3587.092536
27,2021/7/11,3670,3421.058369,3169.640259,3313.72428,3072.920211,3011.361928
28,2021/7/12,2491,2478.45226,2465.75647,2286.064396,2247.864214,2178.616889
29,2021/7/13,2619,2653.185468,2557.081055,2172.763658,2359.953334,2341.788405
30,2021/7/14,2430,2448.165186,2480.398254,2404.409594,2351.867984,2191.663511
31,2021/7/15,2053,2048.377341,2078.169128,2168.422533,2222.89,2427.212965
32,2021/7/16,1905,1994.357713,1929.994751,2173.17623,2179.328,2338.983603
33,2021/7/17,3145,3106.64278,3385.523438,3123.574425,2992.6023,2700.664611
34,2021/7/18,3317,3342.2808,3492.724365,2935.12185,3171.8324,3035.543011
35,2021/7/19,2918,2875.220149,2673.20752,2184.597529,2344.9065,2499.543846
36,2021/7/20,3006,2932.9901,2703.457642,2878.277595,2335.7987,2536.367365
37,2021/7/21,2666,2699.155071,2415.066895,2875.48032,2493.2713,2547.485493
38,2021/7/22,3087,2893.7005,3049.975952,2435.522039,2455.8669,2542.314907
39,2021/7/23,3277,2845.108884,3280.419861,2896.128832,2181.5784,2571.050234
40,2021/7/24,5210,3064.616309,4186.414307,3731.110182,3248.5246,2658.295281
41,2021/7/25,4722,4765.649174,4576.455811,3105.992063,3265.9063,5557.359516
42,2021/7/26,2959,2960.026252,3079.502563,2915.989337,2182.007,4597.908139
43,2021/7/27,2693,2740.0426,1776.532959,546.2383164,2275.4628,1931.767345
44,2021/7/28,2145,2103.255698,2313.793518,806.9279159,1350.0315,1293.370308
45,2021/7/29,715,624.4041215,1157.483337,816.4800048,928.6481,430.3862902
